	Bus 1	Bus 2	Bus 3	Bus 4	Bus 5
Hour 0	1	4	7	10	13
Hour 1	8	11	14	3	6
Hour 2	15	2	5	8	12
Hour 3	9	10	10	14	3
Hour 4	4	4	4	4	7
Hour 5	12	12	12	12	12
Hour 6	4	4	4	4	4
Hour 7	11	11	11	11	11
Hour 8	2	2	2	2	2
